Timestamp,Becketts Link,Becketts Back Image URL,Becketts Front Image URL,Sport,Manufacturer,Brand,Set,Player,Team,Card Number,Card Name,Features,Attributes,Additional Information
2025-07-26T22:03:29.952513,https://www.beckett.com/basketball/1990-91/hoops/2-larry-bird-as-sp-3031100,https://img.beckett.com/images/items_stock/185226/3031089/3031100/back.jpg,https://img.beckett.com/images/items_stock/185226/3031089/3031100/front.jpg,Basketball,Fleer Inc.,Hoops,1990-91 Hoops,Larry Bird,Boston Celtics,2,1990-91 Hoops #2 Larry Bird AS SP,"Base Set, All-Star (AS), Short Print (SP)",Hall Of Fame (HOF),
2025-07-26T22:03:27.743789,https://www.beckett.com/basketball/1990-91/hoops/1-charles-barkley-as-sp-3031099,,https://img.beckett.com/images/items_stock/185226/3031089/3031099/front.jpg,Basketball,Fleer Inc.,Hoops,1990-91 Hoops,Charles Barkley,Philadelphia 76ers,1,1990-91 Hoops #1 Charles Barkley AS SP,"Base Set, All-Star (AS), Short Print (SP)",Hall Of Fame (HOF),
2025-07-26T22:03:32.124606,https://www.beckett.com/basketball/1990-91/hoops/3-joe-dumars-as-sp-3031101,https://img.beckett.com/images/items_stock/185226/3031089/3031101/back.jpg,https://img.beckett.com/images/items_stock/185226/3031089/3031101/front.jpg,Basketball,Fleer Inc.,Hoops,1990-91 Hoops,Joe Dumars,Detroit Pistons,3,1990-91 Hoops #3 Joe Dumars AS SP,"Base Set, All-Star (AS), Short Print (SP)",Hall Of Fame (HOF),
2025-07-26T22:03:34.296247,https://www.beckett.com/basketball/1990-91/hoops/4-patrick-ewing-as-sp-uera-s-blocks-listed-as-1-should-be-5-3031102,https://img.beckett.com/images/items_stock/185226/3031089/3031102/back.jpg,https://img.beckett.com/images/items_stock/185226/3031089/3031102/front.jpg,Basketball,Fleer Inc.,Hoops,1990-91 Hoops,Patrick Ewing,New York Knicks,4,1990-91 Hoops #4 Patrick Ewing AS SP UER,"Base Set, All-Star (AS), Short Print (SP), Update Card (U), Uncorrected Error (UER)",Hall Of Fame (HOF),"A-S blocks listed as 1, should be 5"
2025-07-26T22:03:36.470393,https://www.beckett.com/basketball/1990-91/hoops/5-michael-jordan-as-sp-uerwon-slam-dunk-in87-and-88-not-86-and-88-3031103,https://img.beckett.com/images/items_stock/185226/3031089/3031103/back.jpg,https://img.beckett.com/images/items_stock/185226/3031089/3031103/front.jpg,Basketball,Fleer Inc.,Hoops,1990-91 Hoops,Michael Jordan,Chicago Bulls,5,1990-91 Hoops #5 Michael Jordan AS SP UER,"Base Set, All-Star (AS), Short Print (SP), Update Card (U), Uncorrected Error (UER)",Hall Of Fame (HOF),"Won Slam Dunk in/'87 and '88, not '86 and '88"
2025-07-26T22:03:38.648548,https://www.beckett.com/basketball/1990-91/hoops/6-kevin-mchale-as-sp-3031104,https://img.beckett.com/images/items_stock/185226/3031089/3031104/back.jpg,https://img.beckett.com/images/items_stock/185226/3031089/3031104/front.jpg,Basketball,Fleer Inc.,Hoops,1990-91 Hoops,Kevin McHale,Boston Celtics,6,1990-91 Hoops #6 Kevin McHale AS SP,"Base Set, All-Star (AS), Short Print (SP)",Hall Of Fame (HOF),
2025-07-26T22:03:40.827635,https://www.beckett.com/basketball/1990-91/hoops/7-reggie-miller-as-sp-3031105,https://img.beckett.com/images/items_stock/185226/3031089/3031105/back.jpg,https://img.beckett.com/images/items_stock/185226/3031089/3031105/front.jpg,Basketball,Fleer Inc.,Hoops,1990-91 Hoops,Reggie Miller,Indiana Pacers,7,1990-91 Hoops #7 Reggie Miller AS SP,"Base Set, All-Star (AS), Short Print (SP)",Hall Of Fame (HOF),
2025-07-26T22:03:43.011071,https://www.beckett.com/basketball/1990-91/hoops/8-robert-parish-as-sp-3031106,https://img.beckett.com/images/items_stock/185226/3031089/3031106/back.jpg,https://img.beckett.com/images/items_stock/185226/3031089/3031106/front.jpg,Basketball,Fleer Inc.,Hoops,1990-91 Hoops,Robert Parish,Boston Celtics,8,1990-91 Hoops #8 Robert Parish AS SP,"Base Set, All-Star (AS), Short Print (SP)",Hall Of Fame (HOF),
2025-07-26T22:03:45.183964,https://www.beckett.com/basketball/1990-91/hoops/9-scottie-pippen-as-sp-3031107,https://img.beckett.com/images/items_stock/185226/3031089/3031107/back.jpg,https://img.beckett.com/images/items_stock/185226/3031089/3031107/front.jpg,Basketball,Fleer Inc.,Hoops,1990-91 Hoops,Scottie Pippen,Chicago Bulls,9,1990-91 Hoops #9 Scottie Pippen AS SP,"Base Set, All-Star (AS), Short Print (SP)",Hall Of Fame (HOF),
2025-07-26T22:03:47.354902,https://www.beckett.com/basketball/1990-91/hoops/10-dennis-rodman-as-sp-3031108,https://img.beckett.com/images/items_stock/185226/3031089/3031108/back.jpg,https://img.beckett.com/images/items_stock/185226/3031089/3031108/front.jpg,Basketball,Fleer Inc.,Hoops,1990-91 Hoops,Dennis Rodman,Detroit Pistons,10,1990-91 Hoops #10 Dennis Rodman AS SP,"Base Set, All-Star (AS), Short Print (SP)",Hall Of Fame (HOF),
