Start Date,ebay Variation Image URL 3,ebay Variation Image URL 6,ebay Variation Image URL 5,Category,ebay Image URL 9,Additional Information,ebay Image URL 6,ebay Image URL 5,Variation,Autographed,ebay Image URL 3,Team,SSN,ebay Image URL 14,Current Price,ebay Image URL 4,Shipping Cost,ebay Image URL 10,ebay Variation Image URL 1,Set Name,ebay Image URL 7,Features,CategoryID,ebay Variation Image URL 2,Title,ItemID,Sport,ebay listing URL,ebay Image URL 13,Quantity Available,ebay Image URL 11,ebay Variation Image URL 4,ebay Image URL 1,ebay Image URL 2,ebay Variation Image URL 9,ebay Image URL 12,Format,ebay Image URL 8,Manufacturer,ebay Variation Image URL 7,Brand,Graded,Attributes,Player/Athlete,Seller,ebay Variation Image URL 8,Card Number,Card Name
2025-04-29T22:11:13.000Z,https://i.ebayimg.com/00/s/OTkyWDE2MDA=/z/3tgAAOSw1hJoEU4u/$_57.JPG?set_id=880000500F,https://i.ebayimg.com/00/s/OTkyWDE2MDA=/z/4bYAAOSwtbJoEU5D/$_57.JPG?set_id=880000500F,https://i.ebayimg.com/00/s/OTkyWDE2MDA=/z/mHEAAOSwTrJoEU48/$_57.JPG?set_id=880000500F,Singles,,,,,1,No,,Chicago Bulls,2DollarCards,,2.00,,0.00,,https://i.ebayimg.com/00/s/OTkyWDE2MDA=/z/epoAAOSw2qRoEU4b/$_57.JPG?set_id=880000500F,1991-92 Hoops,,Base Set,261328,https://i.ebayimg.com/00/s/OTkyWDE2MDA=/z/qqoAAOSw3NRoEU4m/$_57.JPG?set_id=880000500F,1991-92 NBA Hoops Tribune Bulls Win First NBA Title #542 Michael Jordan FIN,236078117886,Basketball,https://www.ebay.com/itm/1991-92-NBA-Hoops-Tribune-Bulls-Win-First-NBA-Title-542-Michael-Jordan-FIN-/236078117886,,7,,https://i.ebayimg.com/00/s/OTkyWDE2MDA=/z/h7YAAOSw8UBoEU42/$_57.JPG?set_id=880000500F,https://i.ebayimg.com/00/s/MTA5MFg3OTY=/z/pUMAAOSwJlJoEUxP/$_57.JPG?set_id=880000500F,,https://i.ebayimg.com/00/s/OTkyWDE2MDA=/z/6TEAAOSwMd5oEU5Z/$_57.JPG?set_id=880000500F,,BIN,,Fleer Inc.,https://i.ebayimg.com/00/s/OTkyWDE2MDA=/z/adsAAOSwftdoEU5J/$_57.JPG?set_id=880000500F,,No,Hall Of Fame (HOF),Michael Jordan,GeekSportsCards,https://i.ebayimg.com/00/s/OTkyWDE2MDA=/z/Jo4AAOSwUxFoEU5P/$_57.JPG?set_id=880000500F,542,1991-92 Hoops #542 Michael Jordan FIN
2025-04-29T23:24:50.000Z,https://i.ebayimg.com/00/s/OTkyWDE2MDA=/z/chcAAOSwwcNoEV6f/$_57.JPG?set_id=880000500F,,https://i.ebayimg.com/00/s/OTkyWDE2MDA=/z/Z5QAAOSw9QloEV6y/$_57.JPG?set_id=880000500F,Singles,,,,,1,No,,Chicago Bulls,2DollarCards,,2.00,,0.00,,https://i.ebayimg.com/00/s/OTkyWDE2MDA=/z/AikAAOSwWuVoEV6N/$_57.JPG?set_id=880000500F,1991-92 Fleer,,Base Set,261328,https://i.ebayimg.com/00/s/OTkyWDE2MDA=/z/AasAAOSwbUdoEV6W/$_57.JPG?set_id=880000500F,1991-92 Fleer Basketball All-Star Team #211 Michael Jordan HOF Bulls ,236078183796,Basketball,https://www.ebay.com/itm/1991-92-Fleer-Basketball-All-Star-Team-211-Michael-Jordan-HOF-Bulls-/236078183796,,3,,https://i.ebayimg.com/00/s/OTkyWDE2MDA=/z/8ocAAOSw-ixoEV6t/$_57.JPG?set_id=880000500F,https://i.ebayimg.com/00/s/MTA5Nlg3OTQ=/z/YtsAAOSwi1poEV3H/$_57.JPG?set_id=880000500F,,,,BIN,,Fleer Inc.,,Fleer,No,Hall Of Fame (HOF),Michael Jordan,GeekSportsCards,,211,1991-92 Fleer #211 Michael Jordan AS
2025-04-30T03:45:40.000Z,,,,Singles,,,,,1,No,,Chicago Bulls,2DollarCards,,2.00,,0.00,,https://i.ebayimg.com/00/s/OTkyWDE2MDA=/z/-20AAOSwvvRoEZt9/$_57.JPG?set_id=880000500F,1991-92 Fleer,,Base Set,261328,https://i.ebayimg.com/00/s/OTkyWDE2MDA=/z/b5IAAOSw~vVoEZuK/$_57.JPG?set_id=880000500F,1991-92 Fleer Basketball Team Leader #375 Michael Jordan HOF Bulls ,236078491863,Basketball,https://www.ebay.com/itm/1991-92-Fleer-Basketball-Team-Leader-375-Michael-Jordan-HOF-Bulls-/236078491863,,1,,,https://i.ebayimg.com/00/s/MTA5N1g3OTU=/z/XJkAAOSwpCZoEZrY/$_57.JPG?set_id=880000500F,,,,BIN,,Fleer Inc.,,Fleer,No,Hall Of Fame (HOF),Michael Jordan,GeekSportsCards,,375,1991-92 Fleer #375 Michael Jordan TL
2025-04-30T04:09:27.000Z,https://i.ebayimg.com/00/s/OTkyWDE2MDA=/z/ahsAAOSwPABoEaIS/$_57.JPG?set_id=880000500F,,https://i.ebayimg.com/00/s/OTkyWDE2MDA=/z/ywEAAOSwPyhoEaIe/$_57.JPG?set_id=880000500F,Singles,,,,,1,No,,Chicago Bulls,2DollarCards,,2.00,,0.00,,https://i.ebayimg.com/00/s/OTkyWDE2MDA=/z/kLcAAOSwnxpoEaIF/$_57.JPG?set_id=880000500F,1991-92 Fleer,,Base Set,261328,https://i.ebayimg.com/00/s/OTkyWDE2MDA=/z/PSMAAOSwFutoEaIM/$_57.JPG?set_id=880000500F,1991-92 Fleer Basketball League Leaders #220 Michael Jordan HOF Bulls ,236078512457,Basketball,https://www.ebay.com/itm/1991-92-Fleer-Basketball-League-Leaders-220-Michael-Jordan-HOF-Bulls-/236078512457,,3,,https://i.ebayimg.com/00/s/OTkyWDE2MDA=/z/QJEAAOSw2BZoEaIZ/$_57.JPG?set_id=880000500F,https://i.ebayimg.com/00/s/MTEwOVg4MTU=/z/EV4AAOSwly5oEaKc/$_57.PNG?set_id=880000500F,,,,BIN,,Fleer Inc.,,League Leaders,No,Hall Of Fame (HOF),Michael Jordan,GeekSportsCards,,220,1991-92 Fleer #220 Michael Jordan LL
2025-05-07T00:26:16.000Z,,,,Singles,,,,,0,No,,NFL,2DollarCards,,5.00,,0.00,,,1994 Fleer All-Rookie Set,,Base Set,261328,,1994 Fleer NFL Football All-Rookie Set Exchange Redemption Card (RDM),236089162773,Football,https://www.ebay.com/itm/1994-Fleer-NFL-Football-All-Rookie-Set-Exchange-Redemption-Card-RDM-/236089162773,,1,,,https://i.ebayimg.com/00/s/MTA5M1g3OTk=/z/OksAAOSwVQdoGqBU/$_57.JPG?set_id=880000500F,https://i.ebayimg.com/00/s/OTkyWDE2MDA=/z/-0AAAOSwLftoGqKM/$_57.JPG?set_id=880000500F,,,BIN,,Fleer,,NFL Fleer,No,Rookie (R),Redemption Card,GeekSportsCards,,NNO,1994 Fleer All-Rookie Set #NNO Redemption
2025-05-28T00:56:58.000Z,,,,Singles,,,,,0,No,,Dallas Cowboys,2DollarCards,,2.00,,0.00,,,1994 Fleer All-Pros,,Base Set,261328,,1994 Fleer NFL Football All-Pro Card #1 of 24 Troy Aikman HOF Cowboys,236124408650,Football,https://www.ebay.com/itm/1994-Fleer-NFL-Football-All-Pro-Card-1-24-Troy-Aikman-HOF-Cowboys-/236124408650,,1,,,https://i.ebayimg.com/00/s/ODUxWDYzNw==/z/Zp0AAOSwWO9oNlj-/$_57.PNG?set_id=880000500F,https://i.ebayimg.com/00/s/OTkyWDE2MDA=/z/4AIAAOSwxVNoNlkN/$_57.JPG?set_id=880000500F,,,BIN,,Fleer Inc.,,Fleer NFL Football,No,Hall Of Fame (HOF),Troy Aikman,GeekSportsCards,,1,1994 Fleer All-Pros #1 Troy Aikman
2025-05-28T01:04:20.000Z,,,,Singles,,,,,0,No,,Philadelphia Eagles,2DollarCards,,2.00,,0.00,,,1994 Fleer All-Pros,,Base Set,261328,,1994 Fleer NFL Football All-Pro Card #2 of 24 Eric Allen HOF Eagles,236124417707,Football,https://www.ebay.com/itm/1994-Fleer-NFL-Football-All-Pro-Card-2-24-Eric-Allen-HOF-Eagles-/236124417707,,1,,,https://i.ebayimg.com/00/s/ODc1WDY0Nw==/z/ODAAAOSw6-1oNl~E/$_57.PNG?set_id=880000500F,https://i.ebayimg.com/00/s/OTkyWDE2MDA=/z/5M8AAOSwmbZoNl-w/$_57.JPG?set_id=880000500F,,,BIN,,Fleer Inc.,,NFL NFL Football,No,Hall Of Fame (HOF),Eric Allen,GeekSportsCards,,2,1994 Fleer All-Pros #2 Eric Allen
2025-05-28T03:03:00.000Z,,,,Singles,,,,,0,No,,Atlanta Falcons,2DollarCards,,2.00,,0.00,,,1994 Fleer All-Pros,,Base Set,261328,,1994 Fleer NFL Football All-Pro Card #10 of 24 Andre Rison Falcons,236124516456,Football,https://www.ebay.com/itm/1994-Fleer-NFL-Football-All-Pro-Card-10-24-Andre-Rison-Falcons-/236124516456,,1,,,https://i.ebayimg.com/00/s/ODY0WDY0MA==/z/LnoAAOSwvgVoNntd/$_57.PNG?set_id=880000500F,https://i.ebayimg.com/00/s/OTkyWDE2MDA=/z/XFIAAOSw3AZoNntP/$_57.JPG?set_id=880000500F,,,BIN,,Fleer Inc.,,Fleer NFL Football,No,,Andre Rison,GeekSportsCards,,10,1994 Fleer All-Pros #10 Andre Rison
2025-05-28T03:23:50.000Z,,,,Singles,,,,,0,No,,Detroit Lions,2DollarCards,,2.00,,0.00,,,1994 Fleer All-Pros,,Base Set,261328,,1994 Fleer NFL Football All-Pro Card #11 of 24 Barry Sanders HOF Lions,236124532720,Football,https://www.ebay.com/itm/1994-Fleer-NFL-Football-All-Pro-Card-11-24-Barry-Sanders-HOF-Lions-/236124532720,,1,,,https://i.ebayimg.com/00/s/ODQzWDY1MQ==/z/SxEAAOSwnsdoNoA4/$_57.PNG?set_id=880000500F,https://i.ebayimg.com/00/s/OTkyWDE2MDA=/z/f1wAAOSwp2NoNoAk/$_57.JPG?set_id=880000500F,,,BIN,,Fleer Inc.,,NFL NFL Football,No,Hall Of Fame (HOF),Barry Sanders,GeekSportsCards,,11,1994 Fleer All-Pros #11 Barry Sanders
2025-05-28T03:31:09.000Z,,,,Singles,,,,,0,No,,San Diego Chargers,2DollarCards,,2.00,,0.00,,,1994 Fleer All-Pros,,Base Set,261328,,1994 Fleer NFL Football All-Pro Card #13 of 24 Junior Seau HOF Chargers,236124539555,Football,https://www.ebay.com/itm/1994-Fleer-NFL-Football-All-Pro-Card-13-24-Junior-Seau-HOF-Chargers-/236124539555,,1,,,https://i.ebayimg.com/00/s/ODQzWDY0Mg==/z/c0oAAOSwwe9oNoK2/$_57.PNG?set_id=880000500F,https://i.ebayimg.com/00/s/OTkyWDE2MDA=/z/btAAAOSwltNoNoJ2/$_57.JPG?set_id=880000500F,,,BIN,,Fleer Inc.,,NFL NFL Football,No,Hall Of Fame (HOF),Junior Seau,GeekSportsCards,,13,1994 Fleer All-Pros #13 Junior Seau
2025-05-28T03:35:46.000Z,,,,Singles,,,,,0,No,,Green Bay Packers,2DollarCards,,2.00,,0.00,,,1994 Fleer All-Pros,,Base Set,261328,,1994 Fleer NFL Football All-Pro Card #15 of 24 Sterling Sharpe HOF Packers,236124543874,Football,https://www.ebay.com/itm/1994-Fleer-NFL-Football-All-Pro-Card-15-24-Sterling-Sharpe-HOF-Packers-/236124543874,,1,,,https://i.ebayimg.com/00/s/ODQ4WDY4Mw==/z/W1oAAOSwZhloNoPU/$_57.PNG?set_id=880000500F,https://i.ebayimg.com/00/s/OTkyWDE2MDA=/z/PykAAOSwXvZoNoO7/$_57.JPG?set_id=880000500F,,,BIN,,Fleer Inc.,,NFL NFL Football,No,Hall Of Fame (HOF),Sterling Sharpe,GeekSportsCards,,15,1994 Fleer All-Pros #15 Sterling Sharp
2025-05-28T05:09:32.000Z,,,,Singles,,,,,1,No,,Kansas City Chiefs,2DollarCards,,2.00,,0.00,,https://i.ebayimg.com/00/s/OTkyWDE2MDA=/z/lWEAAOSwO-5oNpmO/$_57.JPG?set_id=880000500F,1994 Fleer All-Pros,,Base Set,261328,https://i.ebayimg.com/00/s/OTkyWDE2MDA=/z/qmkAAOSwkFRoNpmY/$_57.JPG?set_id=880000500F,1994 Fleer NFL Football All-Pro Card #19 of 24 Derrick Thomas HOF Chiefs,236124611950,Football,https://www.ebay.com/itm/1994-Fleer-NFL-Football-All-Pro-Card-19-24-Derrick-Thomas-HOF-Chiefs-/236124611950,,2,,,https://i.ebayimg.com/00/s/ODUxWDY3Mg==/z/3EEAAOSwG65oNpk8/$_57.PNG?set_id=880000500F,,,,BIN,,Fleer Inc.,,,No,Hall Of Fame (HOF),Derrick Thomas,GeekSportsCards,,19,1994 Fleer All-Pros #19 Derrick Thomas
2025-05-28T05:30:47.000Z,,,,Singles,,,,,0,No,,New Orleans Saints,2DollarCards,,2.00,,0.00,,,1994 Fleer All-Pros,,Base Set,261328,,1994 Fleer NFL Football All-Pro Card #21 of 24 Renaldo Turnbull Saints,236124623282,Football,https://www.ebay.com/itm/1994-Fleer-NFL-Football-All-Pro-Card-21-24-Renaldo-Turnbull-Saints-/236124623282,,1,,,https://i.ebayimg.com/00/s/ODMwWDY0Nw==/z/dTcAAOSw86JoNp5T/$_57.PNG?set_id=880000500F,https://i.ebayimg.com/00/s/OTkyWDE2MDA=/z/QyUAAOSwQmFoNp47/$_57.JPG?set_id=880000500F,,,BIN,,Fleer Inc.,,Fleer NFL Football,No,,Renaldo Turnbull,GeekSportsCards,,21,1994 Fleer All-Pros #21 Renaldo Turnbull COR
2025-05-28T06:56:00.000Z,,,,Singles,,,,,0,No,,Kansas City Chiefs,2DollarCards,,2.00,,0.00,,,1994 Fleer League Leaders,,Base Set,261328,,1994 Fleer NFL Football League Leader Card #1 of 10 Marcus Allen HOF Chiefs,236124698634,Football,https://www.ebay.com/itm/1994-Fleer-NFL-Football-League-Leader-Card-1-10-Marcus-Allen-HOF-Chiefs-/236124698634,,1,,,https://i.ebayimg.com/00/s/NzY4WDU2Nw==/z/jWMAAOSwd1RoNrFh/$_57.PNG?set_id=880000500F,https://i.ebayimg.com/00/s/ODg1WDE2MDA=/z/agcAAOSwhIBoNrFU/$_57.JPG?set_id=880000500F,,,BIN,,Fleer Inc.,,Fleer NFL Football,No,Hall Of Fame (HOF),Marcus Allen,GeekSportsCards,,1,1994 Fleer League Leaders #1 Marcus Allen
2025-05-28T07:00:29.000Z,,,,Singles,,,,,0,No,,Los Angeles Raiders,2DollarCards,,2.00,,0.00,,,1994 Fleer League Leaders,,Base Set,261328,,1994 Fleer NFL Football League Leader Card #2 of 10 Tim Brown HOF Raiders,236124708929,Football,https://www.ebay.com/itm/1994-Fleer-NFL-Football-League-Leader-Card-2-10-Tim-Brown-HOF-Raiders-/236124708929,,1,,,https://i.ebayimg.com/00/s/NzgwWDU4Mw==/z/5KgAAOSwJtpoNrPq/$_57.PNG?set_id=880000500F,https://i.ebayimg.com/00/s/ODg1WDE2MDA=/z/hTUAAOSwoI1oNrPY/$_57.JPG?set_id=880000500F,,,BIN,,Fleer Inc.,,Fleer NFL Football,No,Hall Of Fame (HOF),Marcus Allen,GeekSportsCards,,2,1994 Fleer League Leaders #2 Tim Brown
2025-05-28T07:15:56.000Z,,,,Singles,,,,,0,No,,New Orleans Saints,2DollarCards,,2.00,,0.00,,,1994 Fleer League Leaders,,Base Set,261328,,1994 Fleer NFL Football League Leader Card #4 of 10 Tyrone Hughes Saints,236124719463,Football,https://www.ebay.com/itm/1994-Fleer-NFL-Football-League-Leader-Card-4-10-Tyrone-Hughes-Saints-/236124719463,,1,,,https://i.ebayimg.com/00/s/NzcxWDU3Mg==/z/t4oAAOSwS5RoNrdC/$_57.PNG?set_id=880000500F,https://i.ebayimg.com/00/s/ODg1WDE2MDA=/z/z-IAAOSw2fRoNrco/$_57.JPG?set_id=880000500F,,,BIN,,Fleer Inc.,,Fleer NFL Football,No,,Tyrone Hughes,GeekSportsCards,,4,1994 Fleer League Leaders #4 Tyrone Hughes
2025-05-28T07:51:14.000Z,,,,Singles,,,,,1,No,,Green Bay Packers,2DollarCards,,2.00,,0.00,,https://i.ebayimg.com/00/s/ODg1WDE2MDA=/z/WJIAAOSwwRFoNr~L/$_57.JPG?set_id=880000500F,1994 Fleer League Leaders,,Base Set,261328,https://i.ebayimg.com/00/s/ODg1WDE2MDA=/z/xfIAAOSwesFoNr~L/$_57.JPG?set_id=880000500F,1994 Fleer NFL Football League Leader Card #6 of 10 Sterling Sharpe HOF Packers,236124749874,Football,https://www.ebay.com/itm/1994-Fleer-NFL-Football-League-Leader-Card-6-10-Sterling-Sharpe-HOF-Packers-/236124749874,,2,,,https://i.ebayimg.com/00/s/Nzc4WDU3MA==/z/C6wAAOSwZxdoNr-V/$_57.PNG?set_id=880000500F,,,,BIN,,Fleer Inc.,,,No,Hall Of Fame (HOF),Sterling Sharpe,GeekSportsCards,,6,1994 Fleer League Leaders #6 Sterling Sharpe
2025-05-28T08:02:04.000Z,https://i.ebayimg.com/00/s/OTE2WDE2MDA=/z/DuYAAeSw-ahomF5P/$_57.JPG?set_id=880000500F,,https://i.ebayimg.com/00/s/OTIxWDE2MDA=/z/GB8AAeSwNf5omF5t/$_57.JPG?set_id=880000500F,Singles,,,,,1,No,,Kansas City Chiefs,2DollarCards,,2.00,,0.00,,https://i.ebayimg.com/00/s/ODg1WDE2MDA=/z/2OIAAOSwBZRoNsJE/$_57.JPG?set_id=880000500F,1994 Fleer League Leaders,,Base Set,261328,https://i.ebayimg.com/00/s/ODg1WDE2MDA=/z/djwAAOSwiCZoNsI-/$_57.JPG?set_id=880000500F,1994 Fleer NFL Football League Leader Card #8 of 10 Neil Smith Chiefs,236124766999,Football,https://www.ebay.com/itm/1994-Fleer-NFL-Football-League-Leader-Card-8-10-Neil-Smith-Chiefs-/236124766999,,5,,https://i.ebayimg.com/00/s/OTI1WDE2MDA=/z/5rYAAeSw~NdomF5h/$_57.JPG?set_id=880000500F,https://i.ebayimg.com/00/s/Nzc4WDU3Mw==/z/aRMAAOSwjt9oNsHy/$_57.PNG?set_id=880000500F,,,,BIN,,Fleer Inc.,,,No,Hall Of Fame (HOF),Neil Smith,GeekSportsCards,,8,1994 Fleer League Leaders #8 Neil Smith
2025-05-28T08:13:46.000Z,https://i.ebayimg.com/00/s/OTE2WDE2MDA=/z/aLEAAeSwiI5omF~T/$_57.JPG?set_id=880000500F,,https://i.ebayimg.com/00/s/OTE2WDE2MDA=/z/YvAAAeSw1EVomF~o/$_57.JPG?set_id=880000500F,Singles,,,,,1,No,,San Francisco 49ers,2DollarCards,,2.00,,0.00,,https://i.ebayimg.com/00/s/ODg1WDE2MDA=/z/HtMAAOSw665oNsVc/$_57.JPG?set_id=880000500F,1994 Fleer League Leaders,,Base Set,261328,https://i.ebayimg.com/00/s/ODg1WDE2MDA=/z/TgkAAOSwq91oNsVV/$_57.JPG?set_id=880000500F,1994 Fleer NFL Football League Leader Card #10 of 10 Steve Young HOF 49ers,236124824354,Football,https://www.ebay.com/itm/1994-Fleer-NFL-Football-League-Leader-Card-10-10-Steve-Young-HOF-49ers-/236124824354,,5,,https://i.ebayimg.com/00/s/OTE2WDE2MDA=/z/N~MAAeSwjXdomF~c/$_57.JPG?set_id=880000500F,https://i.ebayimg.com/00/s/Nzg0WDU3Mw==/z/FisAAOSwqJhoNsUm/$_57.PNG?set_id=880000500F,,,,BIN,,Fleer Inc.,,,No,Hall Of Fame (HOF),Steve Young,GeekSportsCards,,10,1994 Fleer League Leaders #10 Steve Young
2025-05-30T02:33:08.000Z,,,,Singles,,,,,0,No,,Los Angeles Rams,2DollarCards,,2.00,,0.00,,,1994 Fleer Jerome Bettis,,Base Set,261328,,1994 Fleer NFL Football Jerome Bettis Rookie Of Year Card #3 HOF Rams,236127628821,Football,https://www.ebay.com/itm/1994-Fleer-NFL-Football-Jerome-Bettis-Rookie-Year-Card-3-HOF-Rams-/236127628821,,1,,,https://i.ebayimg.com/00/s/MTA5NFg3OTg=/z/faUAAOSwsSVoORib/$_57.PNG?set_id=880000500F,https://i.ebayimg.com/00/s/Nzg5WDEwOTk=/z/s-MAAOSw0cZoORix/$_57.PNG?set_id=880000500F,,,BIN,,Fleer Inc.,,Fleer NFL Football,No,,Jerome Bettis,GeekSportsCards,,3,1994 Fleer Jerome Bettis #3 Jerome Bettis
2025-05-30T02:35:18.000Z,,,,Singles,,,,,0,No,,Los Angeles Rams,2DollarCards,,2.00,,0.00,,,1994 Fleer Jerome Bettis,,Base Set,261328,,1994 Fleer NFL Football Jerome Bettis Rookie Of Year Card #4 HOF Rams,236127631298,Football,https://www.ebay.com/itm/1994-Fleer-NFL-Football-Jerome-Bettis-Rookie-Year-Card-4-HOF-Rams-/236127631298,,1,,,https://i.ebayimg.com/00/s/MTEwNFg3OTQ=/z/keEAAOSwFKFoORkm/$_57.PNG?set_id=880000500F,https://i.ebayimg.com/00/s/Nzg3WDEwODY=/z/kscAAOSwyOBoORk9/$_57.PNG?set_id=880000500F,,,BIN,,Fleer Inc.,,Fleer NFL Football,No,,Jerome Bettis,GeekSportsCards,,4,1994 Fleer Jerome Bettis #4 Jerome Bettis
