End Date Ebay,Start Date,ebay Image URL 1,Set Name,Quantity Available,Shipping Cost,Format,Current Price,Bid Count,Card Number,ebay Image URL 2,Category,CategoryID,Team,Attributes,ebay listing URL,Card Name,Player/Athlete,Title,End Date,Sport,ItemID,Features,Variation
2025-08-12 20:45:00 PDT,2025-08-03T03:45:00.000Z,https://i.ebayimg.com/00/s/MTA3M1g4MDA=/z/5u0AAeSw85ZobiY-/$_57.PNG?set_id=880000500F,1988-89 Fleer,1,1.50,Auction,1.25,0,79,https://i.ebayimg.com/00/s/MTA3M1gxNjAw/z/pLsAAeSwBbNobiY4/$_57.JPG?set_id=880000500F,None,,New Jersey Nets,,https://www.ebay.com/itm/1988-89-Fleer-NBA-Basketball-Card-79-Buck-Williams-Nets-/236227931168,1988-89 Fleer #79 Buck Williams,Buck Williams,1988-89 Fleer NBA Basketball Card #79 Buck Williams Nets,2025-08-13T03:45:00.000Z,Basketball,236227931168,Base Set,0
2025-08-12 20:45:00 PDT,2025-08-03T03:45:00.000Z,https://i.ebayimg.com/00/s/MTA3MFg4MDI=/z/8UQAAeSwDztocB6A/$_57.PNG?set_id=880000500F,1988-89 Fleer,1,1.50,Auction,1.25,0,71,https://i.ebayimg.com/00/s/MTA3MFgxNjAw/z/7hkAAeSwRCRocB52/$_57.JPG?set_id=880000500F,None,,Miami Heat,,https://www.ebay.com/itm/1988-89-Fleer-NBA-Basketball-Rookie-Card-71-Dwayne-Washington-RC-Heat-/236227934938,1988-89 Fleer #71 Dwayne Washington RC,Duane Washington,1988-89 Fleer NBA Basketball Rookie Card #71 Dwayne Washington RC Heat,2025-08-13T03:45:00.000Z,Basketball,236227934938,Base Set,0
2025-08-12 20:45:01 PDT,2025-08-03T03:45:01.000Z,https://i.ebayimg.com/00/s/MTA4NFg3OTU=/z/e9gAAeSw8nVogiZt/$_57.PNG?set_id=880000500F,1988-89 Fleer,1,1.00,Auction,1.25,0,80,https://i.ebayimg.com/00/s/MTA4NFgxNjAw/z/aSYAAeSwX5xogiZh/$_57.JPG?set_id=880000500F,None,,Portland Trail Blazers,Hall Of Fame (HOF),https://www.ebay.com/itm/1988-89-Fleer-NBA-Basketball-Hall-Fame-Card-80-Patrick-Ewing-HOF-Knicks-/236224822829,1988-89 Fleer #80 Patrick Ewing,Patrick Ewing,1988-89 Fleer NBA Basketball Hall Of Fame Card #80 Patrick Ewing HOF Knicks,2025-08-13T03:45:01.000Z,Basketball,236224822829,Base Set,0
2025-08-17 20:45:00 PDT,2025-08-08T03:45:00.000Z,https://i.ebayimg.com/00/s/NTAwWDUwMA==/z/aXQAAeSwc0hogTGj/$_1.PNG?set_id=8800005007,1990-91 Fleer,1,1.50,Auction,1.25,0,33,,None,,Cleveland Cavaliers,,https://www.ebay.com/itm/1990-91-Fleer-NBA-Basketball-Rookie-Error-Card-33-Danny-Ferry-RC-UER-Cavaliers-/236223305165,1990-91 Fleer #33 Danny Ferry RC UER,Danny Ferry,1990-91 Fleer NBA Basketball Rookie Error Card #33 Danny Ferry RC UER Cavaliers,2025-08-18T03:45:00.000Z,Basketball,236223305165,"Base Set, Rookie Card (RC), Uncorrected Error (UER)",0
2025-08-17 20:45:00 PDT,2025-08-08T03:45:00.000Z,https://i.ebayimg.com/00/s/NTAwWDUwMA==/z/bF8AAeSwcG9ogTGi/$_1.PNG?set_id=8800005007,1990-91 Fleer,1,1.50,Auction,1.25,0,39,,None,,Dallas Mavericks,,https://www.ebay.com/itm/1990-91-Fleer-NBA-Basketball-Hall-Fame-Card-39-Adrian-Dantley-HOF-Mavericks-/236223305166,1990-91 Fleer #39 Adrian Dantley,Adrian Dantley,1990-91 Fleer NBA Basketball Hall Of Fame Card #39 Adrian Dantley HOF Mavericks,2025-08-18T03:45:00.000Z,Basketball,236223305166,Base Set,0
2025-08-17 20:45:00 PDT,2025-08-08T03:45:00.000Z,https://i.ebayimg.com/00/s/NTAwWDUwMA==/z/Vm4AAeSwLcxogTHf/$_1.PNG?set_id=8800005007,1990-91 Fleer,1,1.50,Auction,1.25,0,44,,None,,Dallas Mavericks,,https://www.ebay.com/itm/1990-91-Fleer-NBA-Basketball-Card-44-Bill-Wennington-Mavericks-/236223305167,1990-91 Fleer #44 Bill Wennington,Bill Wennington,1990-91 Fleer NBA Basketball Card #44 Bill Wennington Mavericks,2025-08-18T03:45:00.000Z,Basketball,236223305167,Base Set,0
2025-08-17 20:45:00 PDT,2025-08-08T03:45:00.000Z,https://i.ebayimg.com/00/s/NTAwWDUwMA==/z/NhAAAeSw9O9ogTIb/$_1.PNG?set_id=8800005007,1990-91 Fleer,1,1.50,Auction,1.25,0,8,,None,,Boston Celtics,,https://www.ebay.com/itm/1990-91-Fleer-NBA-Basketball-Hall-Fame-Card-8-Larry-Bird-HOF-Celtics-/236223305168,1990-91 Fleer #8 Larry Bird,Larry Bird,1990-91 Fleer NBA Basketball Hall Of Fame Card #8 Larry Bird HOF Celtics,2025-08-18T03:45:00.000Z,Basketball,236223305168,Base Set,0
2025-08-17 20:45:00 PDT,2025-08-08T03:45:00.000Z,https://i.ebayimg.com/00/s/NTAwWDUwMA==/z/OvgAAeSw~i9ogTJW/$_1.PNG?set_id=8800005007,1990-91 Fleer,1,1.50,Auction,1.25,0,23,,None,,Chicago Bulls,,https://www.ebay.com/itm/1990-91-Fleer-NBA-Basketball-Card-23-Bill-Cartwright-Bulls-/236223305169,1990-91 Fleer #23 Bill Cartwright,Bill Cartwright,1990-91 Fleer NBA Basketball Card #23 Bill Cartwright Bulls,2025-08-18T03:45:00.000Z,Basketball,236223305169,Base Set,0
2025-08-17 20:45:00 PDT,2025-08-08T03:45:00.000Z,https://i.ebayimg.com/00/s/NTAwWDUwMA==/z/WJAAAeSwCKRogTJU/$_1.PNG?set_id=8800005007,1990-91 Fleer,1,1.50,Auction,1.25,0,31,,None,,Cleveland Cavaliers,,https://www.ebay.com/itm/1990-91-Fleer-NBA-Basketball-Card-31-Brad-Daugherty-Cavaliers-/236223305170,1990-91 Fleer #31 Brad Daugherty,Brad Daugherty,1990-91 Fleer NBA Basketball Card #31 Brad Daugherty Cavaliers,2025-08-18T03:45:00.000Z,Basketball,236223305170,Base Set,0
2025-08-17 20:45:00 PDT,2025-08-08T03:45:00.000Z,https://i.ebayimg.com/00/s/NTAwWDUwMA==/z/NdMAAeSw2GBogTHf/$_1.PNG?set_id=8800005007,1990-91 Fleer,1,1.50,Auction,1.25,0,34,,None,,Cleveland Cavaliers,,https://www.ebay.com/itm/1990-91-Fleer-NBA-Basketball-League-Leader-Card-34-Steve-Kerr-Cavaliers-/236223305173,1990-91 Fleer #34 Steve Kerr,Steve Kerr,1990-91 Fleer NBA Basketball League Leader Card #34 Steve Kerr Cavaliers,2025-08-18T03:45:00.000Z,Basketball,236223305173,"Base Set, League Leaders (LL)",0
2025-08-17 20:45:00 PDT,2025-08-08T03:45:00.000Z,https://i.ebayimg.com/00/s/NTAwWDUwMA==/z/aWwAAeSweSJogTHe/$_1.PNG?set_id=8800005007,1990-91 Fleer,1,1.50,Auction,1.25,0,11,,None,,Boston Celtics,,https://www.ebay.com/itm/1990-91-Fleer-NBA-Basketball-Card-11-Reggie-Lewis-Celtics-/236223305174,1990-91 Fleer #11 Reggie Lewis,Reggie Lewis,1990-91 Fleer NBA Basketball Card #11 Reggie Lewis Celtics,2025-08-18T03:45:00.000Z,Basketball,236223305174,Base Set,0
2025-08-17 20:45:00 PDT,2025-08-08T03:45:00.000Z,https://i.ebayimg.com/00/s/NTAwWDUwMA==/z/RKUAAeSwzqlogTHc/$_1.PNG?set_id=8800005007,1990-91 Fleer,1,1.50,Auction,1.25,0,2,,None,,Atlanta Hawks,,https://www.ebay.com/itm/1990-91-Fleer-NBA-Basketball-Card-2-Cliff-Levingston-Hawks-/236223305175,1990-91 Fleer #2 Cliff Levingston,Cliff Levingston,1990-91 Fleer NBA Basketball Card #2 Cliff Levingston Hawks,2025-08-18T03:45:00.000Z,Basketball,236223305175,Base Set,0
2025-08-17 20:45:00 PDT,2025-08-08T03:45:00.000Z,https://i.ebayimg.com/00/s/NTAwWDUwMA==/z/UN0AAeSwByNogTGk/$_1.PNG?set_id=8800005007,1990-91 Fleer,1,1.50,Auction,1.25,0,9,,None,,Boston Celtics,,https://www.ebay.com/itm/1990-91-Fleer-NBA-Basketball-Hall-Fame-Card-9-Dennis-Johnson-HOF-Celtics-/236223305176,1990-91 Fleer #9 Dennis Johnson,Dennis Johnson,1990-91 Fleer NBA Basketball Hall Of Fame Card #9 Dennis Johnson HOF Celtics,2025-08-18T03:45:00.000Z,Basketball,236223305176,Base Set,0
2025-08-17 20:45:00 PDT,2025-08-08T03:45:00.000Z,https://i.ebayimg.com/00/s/NTAwWDUwMA==/z/U7kAAeSwiI9ogTJa/$_1.PNG?set_id=8800005007,1990-91 Fleer,1,1.50,Auction,1.25,0,5,,None,,Atlanta Hawks,,https://www.ebay.com/itm/1990-91-Fleer-NBA-Basketball-Card-5-Spud-Webb-Hawks-/236223305177,1990-91 Fleer #5 Spud Webb,Spud Webb,1990-91 Fleer NBA Basketball Card #5 Spud Webb Hawks,2025-08-18T03:45:00.000Z,Basketball,236223305177,Base Set,0
2025-08-17 20:45:00 PDT,2025-08-08T03:45:00.000Z,https://i.ebayimg.com/00/s/NTAwWDUwMA==/z/br4AAeSwY5togTJX/$_1.PNG?set_id=8800005007,1990-91 Fleer,1,1.50,Auction,1.25,0,7,,None,,Atlanta Hawks,,https://www.ebay.com/itm/1990-91-Fleer-NBA-Basketball-Card-7-Kevin-Willis-Hawks-/236223305178,1990-91 Fleer #7 Kevin Willis,Kevin Willis,1990-91 Fleer NBA Basketball Card #7 Kevin Willis Hawks,2025-08-18T03:45:00.000Z,Basketball,236223305178,Base Set,0
2025-08-17 20:45:00 PDT,2025-08-08T03:45:00.000Z,https://i.ebayimg.com/00/s/NTAwWDUwMA==/z/zBkAAeSwbg1ogTJa/$_1.PNG?set_id=8800005007,1990-91 Fleer,1,1.50,Auction,1.25,0,17,,None,,Charlotte Hornets,,https://www.ebay.com/itm/1990-91-Fleer-NBA-Basketball-Card-17-Rex-Chapman-Hornets-/236223305179,1990-91 Fleer #17 Rex Chapman,Rex Chapman,1990-91 Fleer NBA Basketball Card #17 Rex Chapman Hornets,2025-08-18T03:45:00.000Z,Basketball,236223305179,Base Set,0
