Year,Name,Category
1959,John Schommer,Player
1959,George Mikan ,Player
1959,Hank Luisetti,Player
1959,Charles Hyatt,Player
1959,Oswald Tower,Contributor
1959,Amos Alonzo Stagg ,Contributor
1959,Harold Olsen ,Contributor
1959,James Naismith ,Contributor
1959,Ralph Morgan,Contributor
1959,Edward Hickox,Contributor
1959,Luther Gulick,Contributor
1959,Walter Meanwell ,Coach
1959,Henry Clifford Carlson ,Coach
1959,Phog Allen ,Coach
1960,John Wooden ,Player
1960,Charles Murphy,Player
1960,Branch McCracken ,Player
1960,Ed Macauley ,Player
1960,Victor Hanson,Player
1960,Henry Porter,Contributor
1960,Ward Lambert ,Coach
1960,Frank Keaney ,Coach
1960,Ernest Blood ,Coach
1961,Edward Wachter ,Player
1961,Christian Steinmetz,Player
1961,John Roosma,Player
1961,Andy Phillip ,Player
1961,Bob Kurland,Player
1961,Forrest DeBernardi,Player
1961,Bernard Borgmann,Player
1961,Arthur Trester,Contributor
1961,Arthur Schabinger,Contributor
1961,John O'Brien,Contributor
1961,Leonard Sachs ,Coach
1961,George Keogan ,Coach
1962,John (Cat) Thompson,Player
1962,Barney Sedran,Player
1962,Harlan Page ,Player
1962,Jack McCracken,Player
1962,Lynn St. John ,Contributor
1962,Frank Morgenweck,Contributor
1963,Robert Gruenig,Player
1963,William Reid ,Contributor
1964,John Russell ,Player
1964,Nat Holman ,Player
1964,Harold Foster ,Player
1964,William Jones,Contributor
1964,Ned Irish ,Contributor
1964,John Bunn ,Contributor
1964,Ken Loeffler ,Coach
1965,William Mokray,Contributor
1965,Paul Hinkle ,Contributor
1965,Walter Brown ,Contributor
1965,Howard Hobson ,Coach
1966,Joe Lapchick ,Player
1966,Everett Dean ,Coach
1968,Clair Bee,Contributor
1968,Alvin Julian ,Coach
1968,Amory Gill ,Coach
1968,Howard Cann ,Coach
1969,Dutch Dehnert ,Player
1969,Charles Taylor,Contributor
1969,Adolph Rupp ,Coach
1969,Henry Iba ,Coach
1969,Red Auerbach ,Coach
1970,Bob Davies,Player
1970,Bernard Carnevale ,Coach
1971,Bob Pettit ,Player
1971,Bob Cousy,Player
1971,Abe Saperstein,Contributor
1972,Max Friedman,Player
1972,Paul Endacott,Player
1972,Clifford Wells ,Contributor
1972,Edward Gottlieb ,Contributor
1972,Robert Douglas,Contributor
1972,Edgar Diddle ,Coach
1973,Dolph Schayes ,Player
1973,John Beckman,Player
1973,Elmer Ripley ,Contributor
1973,John Wooden ,Coach
1973,Arthur Lonborg ,Coach
1973,Bruce Drake ,Coach
1974,Ernest Schmidt,Player
1974,Maurice Podoloff,Contributor
1974,Harry Fisher ,Contributor
1975,Robert Vandivier,Player
1975,Bill Russell ,Player
1975,Joseph Brennan ,Player
1975,Emil Liston,Contributor
1976,Bill Sharman ,Player
1976,Ed Krause ,Player
1976,Tom Gola ,Player
1976,Harry Litwack ,Coach
1977,William Johnson,Player
1977,Lauren Gale ,Player
1977,Elgin Baylor ,Player
1977,"Charles ""Tarzan"" Cooper",Contributor
1977,Frank McGuire ,Coach
1978,Jim Pollard,Player
1978,Cliff Hagan ,Player
1978,Joe Fulks ,Player
1978,Paul Arizin ,Player
1979,Wilt Chamberlain ,Player
1979,John McLendon ,Contributor
